87855 22 1498325832
29 780 1302 4587
28 14 1923 4658
122 3027 797 4729
57 2216 1583 4800
111 5625 1031 4871
81 1432 2000 4942
24 427 1457 5013
7 1307 660 5084
54 2538 1658 5154
115 2768 1626 5225
104 4189 1861 5296
122 1131 2000 5367
92 1754 599 5438
113 4735 1599 5509
94 2512 2000 5580
45 1346 1447 5651
72 1877 1586 5722
33 1019 1081 5793
17 4600 2000 5864
122 3896 2000 5935
117 6375 1437 6006
52 6429 1256 6077
49 1909 2000 6148
29 3952 1414 6219
48 2934 1580 6290
17 2758 2000 6361
55 1911 1402 6432
123 416 1157 6503
6 3690 362 6574
1 5200 552 6645
19 2146 1311 6716
64 3045 1175 6787
114 1408 2000 6858
41 501 1750 6929
10 1271 1684 7000
80 103 1210 7071
6 4998 1192 7142
2 3354 1291 7213
120 1555 1354 7284
69 1526 814 7355
79 1401 956 7426
123 3116 1393 7497
63 509 1899 7568
22 5196 2000 7639
49 6651 1839 7710
90 2495 1723 7781
123 5011 1498 7852
4 2026 1669 7923
91 2835 917 7994
86 2064 2000 8064
45 6437 1916 8135
10 1573 745 8206
93 482 1438 8277
36 1984 1468 8348
5 862 1764 8419
80 4797 1114 8490
61 917 1435 8561
82 2107 1747 8632
28 5894 1387 8703
65 3010 1388 8774
12 1051 1682 8845
56 707 1419 8916
29 3729 2000 8987
52 2371 1624 9058
30 819 1916 9129
77 3056 1230 9200
104 3087 1276 9271
74 3822 946 9342
62 2351 1436 9413
107 1849 1442 9484
20 4149 1392 9555
83 5179 2000 9626
94 4244 1241 9697
55 132 1706 9768
15 3789 1561 9839
75 4154 1235 9910
64 4937 1933 9981
74 1026 1563 10052
29 740 1850 10123
120 1533 2000 10194
8 2899 2000 10265
69 803 1894 10336
45 3537 527 10407
75 716 758 10478
58 2036 1836 10549
99 5684 1962 10620
38 998 1596 10691
35 5816 1649 10762
72 3127 2000 10833
28 1942 758 10904
64 6369 471 10974
12 2355 1056 11045
87 6351 1712 11116
5 3417 2000 11187
47 273 1535 11258
74 341 1688 11329
6 1343 1151 11400
48 266 1109 11471
114 267 1179 11542
94 840 1144 11613
112 2160 1560 11684
71 33 1535 11755
89 778 2000 11826
117 1091 1813 11897
25 1374 1440 11968
95 2202 741 12039
90 84 1808 12110
59 2067 772 12181
100 3276 1095 12252
12 432 2000 12323
106 3900 1734 12394
12 1607 1257 12465
22 5475 919 12536
2 2293 1594 12607
77 4189 1033 12678
110 3282 1181 12749
120 3639 1987 12820
100 6475 2000 12891
49 4310 1634 12962
66 6106 1754 13033
36 5703 1548 13104
118 176 2000 13175
2 3384 1071 13246
108 4517 805 13317
15 4963 2000 13388
20 3506 1076 13459
8 1152 1153 13530
88 1191 1930 13601
17 1252 758 13672
73 162 1408 13743
40 4236 804 13814
41 4330 2000 13884
29 2761 1872 13955
19 3823 1020 14026
6 1521 1398 14097
22 5998 2000 14168
35 617 2000 14239
41 5195 1 14310
39 1343 1214 14381
44 4923 2000 14452
81 2598 1420 14523
31 5479 1954 14594
39 921 772 14665
11 5528 2000 14736
54 2681 1769 14807
15 1205 1574 14878
50 2101 2000 14949
13 1290 2000 15020
121 41 1489 15091
37 3293 445 15162
74 469 1600 15233
87 391 2000 15304
9 176 1248 15375
50 2174 714 15446
80 663 1704 15517
21 1195 1000 15588
81 1436 1066 15659
22 3211 905 15730
118 5702 2000 15801
55 749 1486 15872
105 961 1177 15943
103 2635 2000 16014
23 1690 1134 16085
123 3797 975 16156
3 3670 1492 16227
24 576 2000 16298
56 1467 1768 16369
36 2084 1806 16440
123 4452 1812 16511
100 2087 1631 16582
89 4392 1733 16653
82 939 2000 16724
75 3330 2000 16794
63 1518 1455 16865
5 5509 508 16936
52 4048 1688 17007
16 3076 1737 17078
98 509 796 17149
14 3558 1364 17220
40 4340 2000 17291
43 5057 2000 17362
91 4154 1859 17433
24 3141 1821 17504
59 1289 1766 17575
89 2179 1896 17646
87 2592 1116 17717
16 3563 1284 17788
88 570 1653 17859
40 5090 1826 17930
4 2229 1393 18001
13 5840 1880 18072
14 4800 1641 18143
43 3871 1452 18214
53 3219 1998 18285
26 3104 1221 18356
46 754 2000 18427
112 4402 569 18498
11 3885 2000 18569
14 2882 1598 18640
29 803 1396 18711
13 577 1361 18782
24 3802 2000 18853
31 5093 1961 18924
31 4899 1680 18995
89 2459 1529 19066
110 564 1834 19137
77 2323 1559 19208
34 852 1985 19279
1 12 1573 19350
80 4628 1045 19421
64 1103 2000 19492
10 870 1554 19563
109 5769 1046 19634
43 4307 1383 19704
57 2397 1157 19775
40 3786 1429 19846
47 5709 1425 19917
87 3956 2000 19988
10 1460 1750 20059
104 1908 1313 20130
24 1561 928 20201
54 4508 697 20272
47 164 1648 20343
89 3812 1281 20414
92 395 1189 20485
35 5762 1301 20556
112 2566 1418 20627
16 5254 1394 20698
71 955 1576 20769
78 3047 2000 20840
73 6409 1008 20911
46 628 1453 20982
43 1479 2000 21053
38 5797 1916 21124
117 762 1570 21195
53 4878 1372 21266
102 2345 1655 21337
99 2397 1964 21408
114 1357 1516 21479
94 3030 536 21550
101 5472 1093 21621
59 150 1554 21692
94 4242 1253 21763
84 2070 1736 21834
50 590 1517 21905
5 6380 1608 21976
73 2367 650 22047
98 457 1290 22118
116 4598 1687 22189
89 1535 1633 22260
34 2760 1712 22331
18 6177 1833 22402
84 1790 1717 22473
93 5210 1683 22544
62 3096 1512 22614
57 5180 1237 22685
83 1672 1600 22756
84 3487 629 22827
12 217 1018 22898
19 4602 1184 22969
