33735 2 144139129
3 442 2000 4496
4 719 601 5501
6 1371 1447 6505
9 3153 1609 7509
6 3571 1243 8514
4 2622 1132 9518
11 470 1862 10522
3 1806 1114 11527
5 1294 1089 12531
2 944 448 13535
9 1680 1365 14540
4 3457 931 15544
5 466 2000 16548
3 2489 2000 17553
4 3189 956 18557
3 1037 2000 19561
2 511 660 20566
2 277 1 21570
10 1876 2000 22574
11 1924 1560 23579
11 966 1277 24583
3 3159 878 25587
8 700 1312 26592
8 2186 1324 27596
1 2935 1090 28600
11 1495 1506 29605
4 1343 159 30609
1 1661 2000 31613
1 2773 865 32618
8 711 400 33622
9 561 256 34626
6 422 2000 35631
2 236 1809 36635
11 2561 780 37639
7 2879 1487 38644
3 2896 1407 39648
1 1717 1 40652
7 908 1941 41657
10 481 1307 42661
7 2642 940 43665
8 1582 2000 44670
8 1506 1265 45674
3 1813 1110 46678
6 674 295 47683
2 510 272 48687
4 285 733 49691
5 3599 1578 50696
6 1919 2000 51700
7 2549 2000 52704
11 1344 1736 53709
6 904 1808 54713
6 1273 1 55717
11 2818 542 56722
9 3261 2000 57726
3 2473 753 58730
8 2382 2000 59735
2 402 2000 60739
9 3372 809 61743
9 416 1773 62748
2 2322 1572 63752
4 513 1510 64756
5 345 756 65761
8 459 271 66765
5 2755 1522 67769
6 1719 1089 68774
1 39 1596 69778
6 3095 274 70782
5 243 1311 71787
11 2751 1245 72791
5 1291 1874 73795
10 121 615 74800
9 488 2000 75804
11 1243 1495 76808
4 618 1646 77813
3 257 1 78817
7 2424 1782 79821
7 492 2000 80826
7 368 1163 81830
7 1544 2000 82834
6 1253 1305 83839
3 2813 2000 84843
5 1601 874 85847
6 214 1663 86852
4 3621 1 87856
3 89 1567 88860
4 1177 795 89865
9 3478 564 90869
11 3534 963 91873
7 1778 2000 92878
10 3290 641 93882
8 277 2000 94886
4 1018 1151 95891
2 706 1142 96895
6 2819 1832 97899
5 538 985 98904
10 1740 2000 99908
6 1356 1803 100912
7 160 997 101917
3 1897 1524 102921
4 3251 1779 103925
2 1111 1708 104930
9 2590 1009 105934
7 925 37 106938
5 3108 1510 107943
7 2240 86 108947
1 127 1683 109951
11 2730 56 110956
6 1207 1490 111960
11 2255 639 112964
6 2056 1 113969
4 382 1 114973
9 251 471 115977
4 1166 1013 116982
10 1323 1509 117986
9 1439 1057 118990
11 180 840 119995
5 1973 566 120999
6 1561 1 122003
8 1463 1 123008
8 2662 1906 124012
3 1336 801 125016
5 2910 2000 126021
3 1935 899 127025
1 275 142 128029
11 2135 1017 129034
5 516 2000 130038
8 2655 771 131042
6 2784 1812 132047
3 2256 1559 133051
4 608 1553 134055
9 1144 2000 135060
2 232 224 136064
10 515 712 137068
10 1586 2000 138073
5 1128 1 139077
2 2628 1 140081
10 3154 941 141086
5 561 1978 142090
2 155 2000 143094
4 2593 840 144099
1 1131 1739 145103
7 1905 2000 146107
11 3075 1194 147112
7 3654 1695 148116
4 2243 1723 149120
3 2264 1482 150125
2 2875 1443 151129
8 201 1187 152133
8 2679 2000 153138
11 3409 2 154142
2 396 2000 155146
10 2115 560 156151
11 2612 1529 157155
1 600 2000 158159
2 1300 1398 159164
3 905 899 160168
4 2019 1372 161172
6 303 1966 162177
10 3085 1 163181
3 1047 880 164185
9 818 1779 165190
5 3452 1587 166194
6 49 1956 167198
10 1266 513 168203
3 19 1099 169207
9 1786 1446 170211
6 2751 1068 171216
4 1191 969 172220
3 922 896 173224
4 2683 1165 174229
2 1634 988 175233
5 2805 1041 176237
2 150 779 177242
8 558 1944 178246
6 1908 1051 179250
5 872 374 180255
11 405 790 181259
10 552 1 182263
10 253 2000 183268
4 2816 535 184272
7 74 720 185276
10 2884 154 186281
1 1203 1 187285
9 769 605 188289
5 771 1097 189294
3 2039 2000 190298
2 298 1003 191302
7 2939 709 192307
10 2457 1142 193311
5 2343 559 194315
7 1992 1 195320
2 3150 740 196324
6 2766 1388 197328
9 1292 725 198333
3 1026 2000 199337
2 695 1843 200341
9 2531 1484 201346
6 3046 1340 202350
5 1239 1302 203354
11 3307 963 204359
10 528 1379 205363
11 537 1403 206367
11 2805 1119 207372
1 590 1132 208376
6 2325 1837 209380
6 3309 1813 210385
7 2107 1155 211389
6 3450 548 212393
4 3044 2000 213398
9 3138 2000 214402
4 1175 1161 215406
5 162 712 216411
10 2864 1848 217415
7 1394 1 218419
3 1699 2000 219424
3 2716 82 220428
5 89 977 221432
6 53 1 222437
8 3560 2000 223441
7 81 832 224445
4 2507 733 225450
5 3314 1449 226454
9 2869 735 227458
1 1225 1200 228463
