26109 8 1066918390
10 905 1956 5149
35 107 1802 5171
29 964 1579 5192
13 1211 1941 5213
36 365 1264 5235
20 14 2000 5256
17 322 1971 5277
38 136 1240 5299
25 250 1596 5320
32 15 1826 5341
12 1169 1591 5363
28 40 1961 5384
4 250 1753 5405
28 1121 1593 5427
6 682 1368 5448
10 798 1583 5469
16 1177 2000 5491
29 898 1808 5512
29 229 1367 5533
37 644 1414 5555
14 207 1700 5576
1 599 1902 5597
10 1124 1355 5619
36 752 1683 5640
15 1348 1587 5661
16 985 2000 5683
34 637 1259 5704
35 13 2000 5725
36 35 1493 5747
8 441 1916 5768
2 23 1129 5790
25 983 1544 5811
13 146 1901 5832
13 678 1554 5854
6 439 1428 5875
25 720 1941 5896
2 1137 1939 5918
2 774 1706 5939
23 123 2000 5960
29 446 1704 5982
31 248 2000 6003
16 383 1581 6024
18 862 2000 6046
33 489 1962 6067
36 339 1984 6088
21 18 1479 6110
28 453 1790 6131
23 772 1711 6152
39 1162 1295 6174
2 250 1982 6195
41 39 1842 6216
4 678 1615 6238
24 96 1794 6259
8 391 1865 6280
41 447 1394 6302
29 714 1560 6323
41 904 1990 6344
11 419 1570 6366
5 951 1861 6387
30 967 1472 6408
28 1047 1519 6430
35 1278 1922 6451
23 1352 1860 6472
30 1373 1966 6494
35 624 1845 6515
10 988 2000 6536
21 5 1530 6558
30 1183 2000 6579
37 872 1975 6600
21 599 1541 6622
39 9 1256 6643
13 627 1685 6664
36 1293 1263 6686
14 838 1627 6707
17 404 1849 6728
9 1062 1123 6750
12 9 2000 6771
28 1043 1907 6792
33 1351 2000 6814
12 842 1380 6835
35 756 2000 6856
16 1217 1526 6878
33 126 1704 6899
13 1365 1382 6920
29 726 1255 6942
14 776 2000 6963
27 939 1859 6984
37 917 1547 7006
6 99 2000 7027
40 1085 1951 7048
28 487 1455 7070
15 114 1802 7091
8 615 2000 7112
23 549 1700 7134
21 164 1769 7155
6 725 2000 7176
9 1312 1630 7198
30 1343 1746 7219
41 54 1422 7240
23 366 1697 7262
41 724 1896 7283
5 109 1228 7305
32 548 1856 7326
12 173 2000 7347
20 1358 1943 7369
1 926 2000 7390
23 1120 2000 7411
14 1080 1977 7433
26 704 1588 7454
37 349 1907 7475
26 950 1678 7497
9 697 2000 7518
23 854 1758 7539
5 199 1869 7561
8 768 1823 7582
33 998 1434 7603
10 1248 1571 7625
33 737 1487 7646
12 835 1812 7667
39 1171 1763 7689
25 349 1933 7710
8 506 2000 7731
41 311 2000 7753
11 1340 2000 7774
11 247 2000 7795
38 95 1582 7817
40 1057 1748 7838
27 256 1966 7859
19 950 1491 7881
35 197 1852 7902
34 1211 1920 7923
22 60 1812 7945
12 906 1946 7966
1 322 1722 7987
14 157 1777 8009
7 760 1247 8030
2 635 1932 8051
21 299 2000 8073
24 780 1673 8094
19 1 2000 8115
17 1305 1761 8137
27 713 1854 8158
39 978 1815 8179
29 1037 1763 8201
23 107 2000 8222
29 224 1780 8243
1 1240 1612 8265
15 325 1518 8286
20 240 1348 8307
11 1367 1912 8329
2 1135 2000 8350
1 1059 1264 8371
21 398 1685 8393
2 608 1880 8414
23 3 1426 8435
40 752 1609 8457
14 16 1555 8478
28 1192 1953 8499
3 381 1622 8521
8 629 1748 8542
19 265 1394 8563
15 918 1570 8585
35 534 1786 8606
1 1307 2000 8627
16 322 2000 8649
14 521 2000 8670
10 554 1493 8691
32 895 2000 8713
2 1236 1631 8734
6 625 1162 8755
32 519 1641 8777
9 500 1327 8798
4 160 1619 8820
15 815 1867 8841
31 939 2000 8862
31 614 2000 8884
26 97 1863 8905
13 838 1270 8926
6 657 1567 8948
18 739 1861 8969
31 295 1476 8990
31 294 1224 9012
31 218 1506 9033
10 1204 1994 9054
17 817 1481 9076
33 301 1728 9097
17 919 1530 9118
33 367 1551 9140
40 31 1878 9161
9 393 1176 9182
19 193 1894 9204
6 930 1774 9225
7 33 1736 9246
29 193 1453 9268
32 400 1739 9289
19 629 1506 9310
3 471 1437 9332
41 408 2000 9353
29 1049 2000 9374
37 1167 1543 9396
35 278 1916 9417
27 1002 1946 9438
25 73 1566 9460
39 1118 2000 9481
17 310 1722 9502
33 1152 1846 9524
18 843 1684 9545
38 679 1441 9566
16 800 1420 9588
19 897 933 9609
35 443 1626 9630
22 1019 1414 9652
6 448 2000 9673
21 271 1838 9694
2 119 2000 9716
32 567 2000 9737
24 543 1766 9758
24 952 2000 9780
4 877 1858 9801
35 542 1320 9822
23 622 1898 9844
3 590 2000 9865
34 570 1688 9886
32 357 1750 9908
39 1354 938 9929
6 834 1626 9950
9 273 1762 9972
2 1336 1935 9993
29 770 2000 10014
2 1129 1949 10036
39 34 1853 10057
12 387 1771 10078
25 1343 2000 10100
30 90 1919 10121
2 1362 1747 10142
3 93 1700 10164
11 355 1412 10185
16 1312 1448 10206
30 207 1874 10228
30 455 908 10249
13 33 1660 10270
7 453 2000 10292
24 989 1710 10313
31 102 1064 10335
5 226 1694 10356
19 474 997 10377
1 605 1400 10399
21 674 1914 10420
14 732 1767 10441
10 123 1902 10463
12 620 1755 10484
6 995 2000 10505
13 930 2000 10527
15 1244 1398 10548
7 460 1592 10569
7 697 1377 10591
3 888 1878 10612
12 658 1901 10633
30 1197 1682 10655
26 239 1197 10676
27 1371 1605 10697
26 26 1874 10719
29 1290 1957 10740
15 577 1275 10761
11 243 1432 10783
17 916 1854 10804
27 942 1768 10825
33 514 1714 10847
37 951 1587 10868
16 470 1433 10889
39 461 1507 10911
38 490 1939 10932
30 926 1922 10953
9 1022 1891 10975
7 864 2000 10996
8 147 1564 11017
9 657 1718 11039
22 274 1664 11060
32 441 1711 11081
28 214 2000 11103
5 771 1786 11124
22 1288 1717 11145
15 180 1690 11167
11 893 1948 11188
13 733 1814 11209
3 491 1624 11231
11 35 1597 11252
6 222 1129 11273
25 556 2000 11295
16 165 1539 11316
17 997 1520 11337
6 590 1788 11359
6 559 1488 11380
41 727 1565 11401
31 989 1828 11423
38 1337 1429 11444
20 944 1285 11465
13 820 1941 11487
17 356 1952 11508
17 1119 1087 11529
37 183 2000 11551
29 1096 2000 11572
33 28 1709 11593
24 548 1795 11615
37 257 1609 11636
21 17 1611 11657
31 163 1872 11679
7 511 1773 11700
37 1068 1009 11721
15 94 1912 11743
32 801 1077 11764
39 711 1355 11786
4 60 2000 11807
4 468 1401 11828
8 1331 1656 11850
23 1222 1720 11871
4 1024 1641 11892
24 657 1865 11914
27 1313 1943 11935
32 193 1136 11956
6 298 1961 11978
33 1239 1802 11999
31 605 1635 12020
33 660 1953 12042
31 1120 908 12063
10 1025 1705 12084
23 1 1637 12106
10 1368 1684 12127
3 249 1827 12148
30 569 1610 12170
2 430 1146 12191
16 583 1557 12212
33 1005 2000 12234
20 698 2000 12255
29 69 1724 12276
32 246 1864 12298
22 811 1352 12319
5 1218 1596 12340
38 327 1611 12362
35 528 1732 12383
5 1368 1651 12404
2 1057 1900 12426
40 366 1775 12447
35 384 1419 12468
29 780 1444 12490
25 1327 1887 12511
30 180 1830 12532
5 209 1093 12554
6 114 1842 12575
38 911 1621 12596
40 820 1782 12618
21 241 1667 12639
30 923 1816 12660
22 130 2000 12682
21 46 1704 12703
14 427 1769 12724
37 36 1783 12746
40 438 1900 12767
24 1030 1640 12788
20 1243 1497 12810
8 432 1597 12831
24 85 1759 12852
2 122 1435 12874
29 763 1720 12895
3 360 1758 12916
39 629 1147 12938
19 545 1614 12959
4 66 1652 12980
32 894 1626 13002
12 1179 1806 13023
36 608 1839 13044
38 127 1866 13066
5 139 1257 13087
21 530 1853 13108
2 153 1999 13130
40 1094 1976 13151
24 272 1899 13172
27 806 2000 13194
30 1119 1937 13215
19 698 2000 13236
28 1190 1663 13258
6 1025 1434 13279
41 767 1846 13301
15 1077 1857 13322
38 1093 1333 13343
17 1110 2000 13365
3 1062 1431 13386
8 390 1377 13407
34 69 1421 13429
8 1049 2000 13450
6 640 1673 13471
15 1097 1884 13493
1 1162 1494 13514
2 839 1923 13535
38 1104 1189 13557
1 32 827 13578
29 718 1474 13599
38 635 1513 13621
9 1042 1278 13642
28 1065 1794 13663
41 499 1665 13685
39 462 1595 13706
33 772 1620 13727
20 425 2000 13749
34 628 2000 13770
38 437 1919 13791
28 22 1578 13813
35 499 1555 13834
17 833 1585 13855
7 353 1234 13877
28 191 1792 13898
11 199 1735 13919
7 934 1431 13941
38 1164 1730 13962
32 524 1280 13983
36 83 1546 14005
2 64 1576 14026
21 351 1431 14047
7 165 2000 14069
21 19 1661 14090
41 635 1084 14111
19 874 1341 14133
20 536 1883 14154
41 1206 1731 14175
19 223 1574 14197
12 398 1948 14218
31 88 2000 14239
25 620 1626 14261
28 389 1554 14282
14 930 1692 14303
14 566 2000 14325
24 358 1625 14346
38 876 1799 14367
7 54 1972 14389
38 642 1956 14410
13 1225 1991 14431
39 522 2000 14453
18 1094 1417 14474
33 84 1499 14495
6 137 1594 14517
41 253 1909 14538
40 1084 1951 14559
37 286 2000 14581
32 580 1269 14602
17 338 1659 14623
24 51 1676 14645
10 13 1820 14666
26 628 1844 14687
27 685 1726 14709
15 389 1363 14730
14 616 1822 14751
4 750 2000 14773
20 1092 1937 14794
15 79 1662 14816
21 859 2000 14837
16 625 1872 14858
9 612 1120 14880
25 16 1789 14901
40 821 1609 14922
17 470 1834 14944
31 379 1919 14965
20 351 1399 14986
11 1151 2000 15008
29 558 2000 15029
20 492 1652 15050
32 901 1537 15072
15 993 1973 15093
13 227 2000 15114
3 727 1408 15136
15 1195 1562 15157
20 917 1916 15178
20 58 1306 15200
16 806 1330 15221
34 932 1789 15242
36 787 1355 15264
31 454 2000 15285
23 712 1787 15306
30 930 1269 15328
17 203 1694 15349
21 82 1962 15370
40 825 1613 15392
1 127 1656 15413
35 1361 1608 15434
22 1014 1572 15456
6 1304 1172 15477
41 55 1283 15498
5 1234 1593 15520
40 316 1957 15541
2 872 1644 15562
3 1149 1434 15584
37 280 2000 15605
5 316 1798 15626
6 19 1886 15648
23 442 1965 15669
10 862 1517 15690
40 251 1544 15712
25 1055 2000 15733
10 742 1766 15754
37 279 1783 15776
31 860 1505 15797
39 518 2000 15818
24 831 1503 15840
35 879 1016 15861
15 1298 1700 15882
30 1032 2000 15904
13 1295 1620 15925
8 560 1768 15946
22 447 1498 15968
33 574 1473 15989
17 270 1900 16010
32 1247 1462 16032
30 1067 2000 16053
20 723 2000 16074
40 43 1799 16096
14 792 1434 16117
20 324 1793 16138
31 492 2000 16160
21 252 1602 16181
23 302 1706 16202
29 509 1615 16224
5 439 1941 16245
13 658 1295 16266
34 613 1567 16288
41 474 1800 16309
18 515 1381 16331
12 694 2000 16352
6 118 1629 16373
7 1123 1581 16395
2 205 1430 16416
37 618 2000 16437
25 45 1685 16459
23 93 1531 16480
30 966 1869 16501
41 813 1398 16523
40 1239 1923 16544
22 213 1402 16565
1 553 1570 16587
23 659 1440 16608
23 42 1674 16629
28 1165 1964 16651
17 54 1303 16672
31 789 1575 16693
21 349 1361 16715
16 252 2000 16736
10 184 2000 16757
25 804 1955 16779
20 623 1560 16800
34 297 1759 16821
26 1253 1452 16843
25 851 1773 16864
17 88 1842 16885
22 241 1780 16907
31 924 1983 16928
10 635 1765 16949
11 1236 1757 16971
20 409 1781 16992
12 742 1816 17013
1 738 1612 17035
25 1044 1786 17056
3 1121 2000 17077
14 889 2000 17099
13 891 1913 17120
21 1144 1843 17141
21 400 1815 17163
9 348 1634 17184
7 1176 1669 17205
24 1318 2000 17227
22 138 1595 17248
25 790 1656 17269
33 246 1618 17291
12 590 1859 17312
6 1105 1926 17333
28 85 1623 17355
31 101 1593 17376
31 1296 1635 17397
25 809 964 17419
40 564 1909 17440
17 139 1509 17461
3 488 1581 17483
34 399 1716 17504
2 1278 1586 17525
24 648 1479 17547
15 1017 1249 17568
36 130 1600 17589
23 816 885 17611
22 278 1961 17632
12 1235 1649 17653
4 1105 1224 17675
36 1303 1889 17696
7 643 1627 17717
27 615 1464 17739
2 772 1978 17760
26 36 1275 17782
7 551 1575 17803
20 575 1926 17824
13 519 1709 17846
38 196 1811 17867
32 159 1970 17888
36 141 1836 17910
26 258 2000 17931
23 391 2000 17952
4 315 1151 17974
8 709 1366 17995
37 497 1959 18016
10 67 1467 18038
16 343 1839 18059
41 266 1520 18080
14 564 1530 18102
2 42 2000 18123
8 1157 1730 18144
28 1139 2000 18166
3 132 2000 18187
10 736 1434 18208
1 622 1680 18230
21 861 2000 18251
31 117 1460 18272
13 1128 2000 18294
33 374 1600 18315
10 960 2000 18336
27 585 1731 18358
14 845 1782 18379
24 410 1977 18400
40 1193 1992 18422
31 258 2000 18443
30 764 2000 18464
6 868 1441 18486
3 1316 1453 18507
12 1161 1915 18528
17 764 2000 18550
7 575 2000 18571
21 788 1621 18592
31 460 1250 18614
7 85 1373 18635
11 891 1390 18656
32 772 1866 18678
36 555 1669 18699
10 591 1390 18720
2 93 1409 18742
8 168 1774 18763
30 507 1887 18784
16 1329 1812 18806
41 613 1419 18827
9 640 1874 18848
7 1122 1299 18870
29 71 1415 18891
26 460 1734 18912
33 266 1600 18934
30 1226 1832 18955
30 381 1691 18976
10 135 1805 18998
3 757 1479 19019
37 1138 1348 19040
6 56 1408 19062
11 802 1989 19083
21 669 908 19104
33 516 1267 19126
32 199 1578 19147
21 809 1127 19168
16 135 2000 19190
26 732 1433 19211
3 395 2000 19232
36 342 1691 19254
38 29 1762 19275
41 1080 1883 19297
13 307 1495 19318
34 327 2000 19339
20 1158 1694 19361
22 32 1806 19382
40 1013 1389 19403
29 963 2000 19425
10 1091 1805 19446
19 1194 1799 19467
7 1184 1165 19489
40 1260 1946 19510
15 836 1042 19531
3 690 1928 19553
26 236 1967 19574
26 604 1848 19595
34 541 1520 19617
9 37 1542 19638
22 1196 1325 19659
32 997 2000 19681
21 1081 2000 19702
35 89 1809 19723
17 64 1635 19745
16 33 1989 19766
13 890 1548 19787
2 795 1540 19809
21 657 1771 19830
6 726 1850 19851
10 220 1264 19873
6 84 1244 19894
37 59 1673 19915
23 763 1925 19937
29 859 1475 19958
4 504 2000 19979
40 532 1747 20001
18 824 1465 20022
2 639 1207 20043
37 926 2000 20065
6 194 1762 20086
20 611 1587 20107
21 1127 1832 20129
7 1340 1979 20150
8 1191 1877 20171
22 1095 2000 20193
22 8 1479 20214
18 23 1716 20235
22 746 1376 20257
37 614 1930 20278
35 1030 1458 20299
33 208 1442 20321
38 771 2000 20342
23 38 1968 20363
25 70 1567 20385
40 864 1087 20406
27 1062 1305 20427
16 173 1647 20449
2 33 2000 20470
36 1319 1737 20491
33 1200 1488 20513
8 929 1664 20534
9 8 1026 20555
18 223 1580 20577
33 1102 1533 20598
26 572 2000 20619
6 1098 1766 20641
8 559 1176 20662
11 1262 2000 20683
3 815 1630 20705
2 91 1770 20726
36 59 2000 20747
11 101 1623 20769
38 436 1900 20790
37 1344 1543 20812
1 440 1712 20833
21 353 1830 20854
1 1372 1161 20876
25 594 1969 20897
21 838 1604 20918
27 253 2000 20940
21 177 1883 20961
22 745 1926 20982
30 203 2000 21004
19 837 2000 21025
29 330 1809 21046
39 1059 1778 21068
9 1239 1577 21089
40 1339 1675 21110
7 143 1799 21132
25 1138 1595 21153
35 1076 1564 21174
25 393 1242 21196
41 432 1675 21217
1 569 2000 21238
38 13 1635 21260
5 690 1978 21281
38 26 1607 21302
28 1276 1229 21324
6 153 1933 21345
21 1194 1533 21366
1 743 1534 21388
9 1168 1627 21409
37 964 1539 21430
24 451 1458 21452
5 339 1007 21473
4 424 1368 21494
19 1319 2000 21516
23 963 1384 21537
25 127 2000 21558
23 194 1372 21580
39 4 1522 21601
8 657 1455 21622
40 835 2000 21644
25 165 1850 21665
34 787 1664 21686
4 1168 1742 21708
16 551 1198 21729
1 1305 1013 21750
40 709 1832 21772
17 405 1691 21793
31 717 1734 21814
21 123 1753 21836
7 1242 2000 21857
29 1242 1966 21878
28 561 2000 21900
28 102 1578 21921
14 393 1552 21942
3 205 2000 21964
6 435 1589 21985
12 229 2000 22006
